"lat","long"
19.9389,-155.8661
19.9416,-155.8608
19.9511,-155.8589
19.9408,-155.8576
19.9409,-155.8575
19.9383,-155.8544
19.8215,-155.8421
19.8194,-155.8375
20.0063,-155.8245
19.9987,-155.8114
20.0072,-155.8071
19.9305,-155.7948
19.9304,-155.7933
19.9304,-155.789
20.0695,-155.4595
19.2743,-155.4566
19.6742,-155.0769
19.728,-155.0643
59.7779,-151.8443
59.6835,-151.4021
59.6937,-151.3726
60.5598,-151.1908
60.4998,-151.0047
60.4986,-150.8525
61.136,-149.8649
61.1149,-149.8538
61.1134,-149.8532
61.1275,-149.8147
61.2184,-149.8143
61.207,-149.7881
-17.4821,-149.7724
61.254,-149.6845
61.2329,-149.674
61.233,-149.6651
61.5052,-149.6142
61.5036,-149.6141
-17.7755,-149.4586
61.4042,-149.4559
61.6559,-149.3818
61.6273,-149.1229
60.9677,-149.1012
61.5832,-149.0846
64.8773,-147.8173
64.8772,-147.817
64.8475,-147.7074
64.8965,-147.6192
64.8417,-147.6106
64.031,-139.5001
58.3997,-135.7277
59.239,-135.4812
57.1016,-135.3957
60.7741,-135.0896
60.7786,-135.0829
60.7212,-135.0569
60.7004,-135.0309
60.6265,-134.9816
60.6252,-134.98
60.625,-134.9761
58.3614,-134.6125
56.4729,-132.3508
54.0033,-132.0995
54.0275,-132.0739
53.2454,-131.825
53.2383,-131.8088
54.3081,-130.3196
54.0714,-128.6342
54.0673,-128.6333
54.5116,-128.5162
50.4281,-127.4817
54.7963,-127.1871
54.7813,-127.1808
54.3928,-126.6574
54.4179,-126.6313
49.7342,-126.0845
49.7538,-126.0499
50.3107,-125.9131
49.146,-125.8911
49.0803,-125.7836
54.2306,-125.7604
49.9292,-125.2102
50.0601,-125.1871
49.7344,-125.0031
49.7351,-125.0028
49.7197,-124.9974
49.7114,-124.9591
49.7123,-124.9566
49.6748,-124.9242
49.6868,-124.9167
49.7017,-124.9162
49.7148,-124.9082
49.2167,-124.8475
49.2607,-124.8176
49.2218,-124.7934
49.2902,-124.785
49.2667,-124.7766
49.3686,-124.5672
49.821,-124.5036
49.7932,-124.4625
49.3535,-124.4412
43.0945,-124.4299
49.3345,-124.4274
49.3372,-124.421
43.0383,-124.4144
43.1197,-124.4142
43.1189,-124.4084
43.1848,-124.3912
43.2205,-124.3909
43.188,-124.3901
43.1936,-124.3899
43.1877,-124.3899
43.1935,-124.389
43.1867,-124.3868
43.1873,-124.3866
43.186,-124.3864
43.1312,-124.3856
43.2046,-124.3846
43.1931,-124.3845
43.3303,-124.3716
49.3342,-124.3644
49.3075,-124.3461
49.3237,-124.323
54.4424,-124.2479
42.062,-124.2191
40.7587,-124.1687
46.9977,-124.1579
49.2763,-124.1241
43.9999,-124.1081
40.5655,-124.1076
43.9539,-124.1048
41.83,-124.1036
43.981,-124.1009
40.9637,-124.0966
43.996,-124.0847
40.8732,-124.0731
40.026,-124.0706
40.0254,-124.0695
44.4145,-124.0659
44.6678,-124.0561
46.5301,-124.0537
46.3724,-124.0527
46.4838,-124.048
40.8467,-124.0473
44.8617,-124.0375
44.8884,-124.0222
49.7522,-124.0107
54.0457,-124.006
49.1958,-123.9956
45.0009,-123.9944
49.1943,-123.9898
45.004,-123.9895
49.1983,-123.9835
45.1064,-123.9813
45.1065,-123.9813
49.65,-123.9728
49.1748,-123.9723
45.7109,-123.9364
44.6567,-123.9339
45.9795,-123.9302
46.0479,-123.9241
46.0321,-123.9238
46.1024,-123.9214
49.0862,-123.8872
49.0606,-123.8654
45.5104,-123.861
45.5116,-123.8582
49.1056,-123.856
45.4816,-123.8421
46.1475,-123.8356
49.1578,-123.8319
48.9772,-123.8045
39.2722,-123.7895
40.0687,-123.7872
40.0681,-123.7872
49.4886,-123.7847
46.9479,-123.7646
49.4721,-123.7631
48.8079,-123.7517
46.9644,-123.7308
48.3815,-123.7303
46.6572,-123.729
48.9143,-123.715
48.3861,-123.7143
48.9111,-123.7133
48.1201,-123.6798
49.4329,-123.6473
42.1801,-123.6455
49.4275,-123.642
40.9507,-123.6301
49.4014,-123.5626
48.6883,-123.5528
48.4768,-123.5317
48.4836,-123.5291
48.409,-123.529
48.8706,-123.5276
48.3901,-123.5251
48.4431,-123.5212
48.403,-123.5193
38.7534,-123.5161
48.4094,-123.5121
49.402,-123.5093
48.4203,-123.4855
48.4468,-123.4652
48.4447,-123.4629
48.6339,-123.4612
48.6302,-123.4561
47.0023,-123.4559
48.4662,-123.4523
48.4697,-123.4519
43.2547,-123.4198
48.4469,-123.4135
43.2708,-123.4079
42.4425,-123.4026
48.4421,-123.4024
48.0993,-123.3973
48.5055,-123.3917
48.5044,-123.3878
39.4372,-123.3849
48.5311,-123.3758
48.5308,-123.3745
43.2222,-123.3727
48.5289,-123.3726
48.5284,-123.3724
42.5505,-123.3697
48.4275,-123.3689
49.3428,-123.3649
48.4127,-123.3647
49.3412,-123.3591
48.4827,-123.3545
48.4813,-123.3535
48.4809,-123.353
48.4834,-123.3528
46.3014,-123.3515
48.8957,-123.3456
43.3889,-123.3451
48.455,-123.3422
48.4721,-123.3417
42.3899,-123.3413
48.4263,-123.3175
44.9772,-123.3155
48.8058,-123.3108
48.4565,-123.3092
48.4498,-123.309
48.4564,-123.309
48.4176,-123.3006
48.4131,-123.3003
44.2768,-123.2995
48.4189,-123.2993
44.2688,-123.2967
44.5466,-123.293
48.768,-123.2903
49.3631,-123.2773
44.9189,-123.2731
44.5454,-123.2717
43.0193,-123.2702
43.019,-123.2695
44.5685,-123.2477
45.8473,-123.2404
44.5898,-123.2298
49.2648,-123.2279
49.3433,-123.2264
39.1526,-123.2229
39.153,-123.2214
39.1699,-123.2154
45.1729,-123.2106
